county,subcounty,n,N,prev
Narok,Kilgoris,32,479,0.0668058455114822
Narok,Narok East,2,485,0.00412371134020619
Narok,Narok North,4,452,0.00884955752212389
Narok,Narok South,24,481,0.0498960498960499
Narok,Narok West,25,480,0.0520833333333333
Nyamira,Borabu,29,412,0.0703883495145631
Nyamira,Kitutu Masaba,10,450,0.0222222222222222
Nyamira,North Mugirango,25,401,0.0623441396508728
Nyamira,West Mugirango,38,542,0.0701107011070111
Nyandarua,Kinangop,0,482,0
Nyandarua,Kipipiri,0,475,0
Nyandarua,Ndaragwa,3,447,0.00671140939597315
Nyandarua,Ol Jorok,0,451,0
Nyandarua,Ol Kalou,0,468,0
Samburu,Samburu East,0,450,0
Samburu,Samburu North,0,466,0
Samburu,Samburu West,0,475,0
Tharaka-Nithi,Igambango Ombe,0,445,0
Tharaka-Nithi,Maara,0,487,0
Tharaka-Nithi,Tharaka,0,448,0
Turkana,Loima,0,339,0
Turkana,Turkana Central,0,285,0
Turkana,Turkana East,0,319,0
Turkana,Turkana North,0,223,0
Turkana,Turkana South,0,336,0
Turkana,Turkana West,0,318,0
West Pokot,Kacheliba,0,466,0
West Pokot,Kapenguria,3,457,0.00656455142231947
West Pokot,Pokot South,4,480,0.00833333333333333
West Pokot,Sigor,1,440,0.00227272727272727
