cluster_number,dpt1,literate_women,pn3,vacc_card,lst_day,night_light,prec,travel_hfa_malaria_atlas,travel_time_cities,prop,N,n,lng,lat
4,0.80376048386097,0.902914673089981,0.759528189897537,0.664050683379173,31.4411768913269,12.70969581604,4.32762253284454,1.86595833301544,5.52362632751465,100,1,1,39.611692,-4.035394
5,0.801560819149017,0.901688635349274,0.750105202198029,0.661264419555664,31.2519149780273,12.7615604400635,4.37675476074219,1.26830899715424,2.86575698852539,100,3,3,39.622004,-4.022159
6,0.801560819149017,0.901688635349274,0.750105202198029,0.661264419555664,31.2519149780273,12.7615604400635,4.37675476074219,1.26830899715424,2.86575698852539,100,2,2,39.637878,-4.008725
7,0.801560819149017,0.901688635349274,0.750105202198029,0.661264419555664,31.2519149780273,12.7615604400635,4.37675476074219,1.26830899715424,2.86575698852539,100,1,1,39.641081,-4.00236
10,0.823089480400085,0.889537453651428,0.784202933311462,0.661199688911438,32.2926940917969,9.62602996826172,4.34618139266968,0.895604491233826,3.03466963768005,50,2,1,39.596815,-4.010404
11,0.823089480400085,0.889537453651428,0.784202933311462,0.661199688911438,32.2926940917969,9.62602996826172,4.34618139266968,0.895604491233826,3.03466963768005,66.6666666666667,3,2,39.582281,-4.009821
12,0.815714001655579,0.897490382194519,0.775527000427246,0.679705381393433,32.1363296508789,5.98805522918701,4.54369401931763,1.59350371360779,1.47174620628357,100,1,1,39.731291,-3.96875
13,0.815714001655579,0.897490382194519,0.775527000427246,0.679705381393433,32.1363296508789,5.98805522918701,4.54369401931763,1.59350371360779,1.47174620628357,75,4,3,39.735706,-3.968096
14,0.815714001655579,0.897490382194519,0.775527000427246,0.679705381393433,32.1363296508789,5.98805522918701,4.54369401931763,1.59350371360779,1.47174620628357,100,1,1,39.73065,-3.976147
15,0.814719915390015,0.89654666185379,0.773439705371857,0.674935698509216,31.8356246948242,12.5096263885498,4.39910793304443,1.08079075813293,1.65560567378998,50,2,1,39.680254,-4.018224
16,0.814719915390015,0.89654666185379,0.773439705371857,0.674935698509216,31.8356246948242,12.5096263885498,4.39910793304443,1.08079075813293,1.65560567378998,100,2,2,39.677845,-4.007709
18,0.814719915390015,0.89654666185379,0.773439705371857,0.674935698509216,31.8356246948242,12.5096263885498,4.39910793304443,1.08079075813293,1.65560567378998,100,2,2,39.690329,-4.006637
19,0.820838660001755,0.884286344051361,0.782799065113068,0.674703598022461,31.9061717987061,7.83538126945496,4.55267667770386,2.25085413455963,5.84491604566574,100,1,1,39.685776,-3.998975
20,0.814719915390015,0.89654666185379,0.773439705371857,0.674935698509216,31.8356246948242,12.5096263885498,4.39910793304443,1.08079075813293,1.65560567378998,100,1,1,39.682994,-4.025297
21,0.818037018179894,0.913073226809502,0.800671488046646,0.655321761965752,31.9718494415283,13.0573091506958,4.44558763504028,1.3886893093586,1.50348919630051,100,3,3,39.648922,-4.079629
22,0.836430490016937,0.909605890512466,0.841841697692871,0.653144627809525,31.9283981323242,7.32388401031494,4.48316717147827,1.43560290336609,1.9628279209137,100,1,1,39.658933,-4.111018
23,0.818037018179894,0.913073226809502,0.800671488046646,0.655321761965752,31.9718494415283,13.0573091506958,4.44558763504028,1.3886893093586,1.50348919630051,100,2,2,39.655171,-4.099182
