county,subcounty,n,N,prev
Tharaka-Nithi,Tharaka,0,448,0
Turkana,Loima,0,339,0
Turkana,Turkana Central,0,285,0
Turkana,Turkana East,0,319,0
Turkana,Turkana North,0,223,0
Turkana,Turkana South,0,336,0
Turkana,Turkana West,0,318,0
West Pokot,Kacheliba,0,466,0
West Pokot,Kapenguria,0,457,0
West Pokot,Pokot South,1,480,0.00208333333333333
West Pokot,Sigor,2,440,0.00454545454545455
