school_id,lat,lng,n,N,prev,elevation,improved_water,lst_day,lst_night,ndvi,open_def,prec,rel_humidity,soil_moisture,soil_pH,soil_temp
4010111,0.1039491,37.5396963,0,32,0,2198.154296875,97.6046905517578,28.9186725616455,11.0500783920288,0.537607550621033,0.813474893569946,3.66900420188904,81.3319473266602,16.9429836273193,59.5144195556641,19.9211120605469
4010112,0.097325,37.523662,0,32,0,2198.154296875,97.6046905517578,28.9186725616455,11.0500783920288,0.537607550621033,0.813474893569946,3.66900420188904,81.3319473266602,16.9429836273193,59.5144195556641,19.9211120605469
4010113,0.202818,37.5111566,0,32,0,1663.03552246094,94.6398162841797,34.240779876709,15.9169139862061,0.432940930128098,3.69155263900757,2.82940006256104,63.2286262512207,16.9429836273193,68.0181121826172,19.9211120605469
4010121,0.0903551,37.569643,0,29,0,2032.71850585937,96.4556732177734,27.5203914642334,12.7943363189697,0.643615126609802,0.733520030975342,3.97409081459045,81.3319473266602,16.9429836273193,57.807243347168,19.9211120605469
4010122,0.0722464,37.5935247,0,32,0,2058.63134765625,94.5413513183594,26.0664443969727,11.5755863189697,0.66207879781723,0.624607026576996,4.69847822189331,81.3319473266602,16.9429836273193,54.4096527099609,19.9211120605469
4010123,0.1670811,37.5967083,0,32,0,1690.44665527344,94.9710693359375,29.8640041351318,15.2655467987061,0.571604549884796,1.57859992980957,3.41198301315308,63.2286262512207,16.9429836273193,59.815315246582,19.9211120605469
4010131,0.0826317,37.4772943,0,27,0,2550.35961914063,88.6874847412109,25.0777740478516,8.65259742736816,0.648069679737091,1.36222743988037,4.28989315032959,81.3319473266602,19.0577449798584,56.4050025939941,16.3553771972656
4010132,0.0666677,37.3009906,0,32,0,2506.90307617188,94.1740570068359,27.0667190551758,8.05111312866211,0.488271176815033,1.24257326126099,3.34517693519592,80.0935134887695,19.0577449798584,60.4223747253418,16.3553771972656
4010133,0.1354345,37.3825311,0,32,0,2102.5703125,76.6353454589844,24.8851165771484,11.2025785446167,0.631783366203308,4.46866130828857,3.22216272354126,63.2286262512207,19.0577449798584,58.3955879211426,16.3553771972656
4010141,0.168658,37.6567444,0,32,0,1482.10705566406,94.2976303100586,30.2394523620606,15.7691402435303,0.573686361312866,1.92097330093384,3.40748500823975,69.0358505249024,16.9429836273193,58.4170150756836,19.9211120605469
4010142,0.1464728,37.6214755,0,32,0,1690.44665527344,94.9710693359375,29.8640041351318,15.2655467987061,0.571604549884796,1.57859992980957,3.41198301315308,63.2286262512207,16.9429836273193,59.815315246582,19.9211120605469
4010143,0.2274225,37.6139158,0,32,0,1391.0087890625,82.7754364013672,34.726016998291,17.8673439025879,0.451493948698044,3.86280727386475,3.09240293502808,63.2286262512207,16.9429836273193,67.7071762084961,19.9211120605469
4010151,0.0298365,37.1407479,0,32,0,2000.20458984375,97.1777114868164,28.4577732086182,11.5662889480591,0.540143966674805,0.77011251449585,2.42607998847961,64.1803588867188,17.3361015319824,62.2041740417481,19.2202758789063
4010152,0.0624838,37.2172015,0,32,0,2174.9541015625,95.6271286010742,28.2096881866455,10.4140625,0.55413031578064,0.943592667579651,2.52114629745483,80.0935134887695,17.3361015319824,61.5264854431152,19.2202758789063
4010153,0.0227408,37.1086704,0,32,0,2000.20458984375,97.1777114868164,28.4577732086182,11.5662889480591,0.540143966674805,0.77011251449585,2.42607998847961,64.1803588867188,17.3361015319824,62.2041740417481,19.2202758789063
4010211,-0.0428227,37.6804643,0,32,0,1488.03454589844,94.0214920043945,24.9958992004395,14.7195310592651,0.718010604381561,1.23767423629761,4.39737606048584,59.4021797180176,21.7855129241943,55.4062881469727,18.0081787109375
4010212,-0.0477667,37.6953733,0,32,0,1319.27209472656,89.941520690918,26.8234767913818,16.3395309448242,0.724581837654114,1.70292532444,4.07649612426758,59.4021797180176,21.7855129241943,56.6003875732422,18.0081787109375
4010213,-0.0403459,37.6919246,0,32,0,1297.16979980469,89.1506500244141,28.3634757995605,16.5192584991455,0.610400021076202,1.75484454631805,3.95186543464661,59.4021797180176,21.7855129241943,56.9019355773926,18.0081787109375
4010221,-0.0320728,37.6352224,0,32,0,1795.59326171875,92.8023834228516,24.3431835174561,13.2811326980591,0.753056049346924,0.787089824676514,4.87365102767944,81.3319473266602,21.7855129241943,53.4036064147949,18.0081787109375
4010222,-0.0206175,37.6199839,0,30,0,1795.59326171875,92.8023834228516,24.3431835174561,13.2811326980591,0.753056049346924,0.787089824676514,4.87365102767944,81.3319473266602,21.7855129241943,53.4036064147949,18.0081787109375
4010223,-0.0279288,37.5673417,0,33,0,2069.6689453125,96.4669799804688,23.6111717224121,10.7071285247803,0.731631815433502,0.868715763092041,5.22555637359619,81.3319473266602,21.7855129241943,51.9046173095703,18.0081787109375
4010224,0.0209466,37.613432,0,32,0,1809.81384277344,96.0916595458984,24.534257888794,13.2884769439697,0.723865151405335,0.673404932022095,4.83004713058472,81.3319473266602,16.9429836273193,53.1013984680176,19.9211120605469
4010232,-0.0440454,37.8496701,0,32,0,951.531066894531,61.6393814086914,31.1782608032227,18.5011520385742,0.619265139102936,1.01237332820892,3.97518682479858,59.4021797180176,16.793270111084,60.5110549926758,25.5237121582031
4010233,-0.0963383,37.7956701,0,33,0,945.326293945313,86.2186737060547,29.3949813842773,17.9855270385742,0.664403021335602,0.627153635025024,4.27293968200684,59.4021797180176,16.793270111084,58.5997314453125,25.5237121582031
4010234,-0.0987445,37.8246536,0,32,0,838.237548828125,69.0624237060547,31.8576164245606,19.9419136047363,0.575575768947601,0.503908812999725,3.90470862388611,59.4021797180176,16.793270111084,60.1020584106445,25.5237121582031
4010241,-0.0208654,37.7997735,0,34,0,1014.06365966797,90.0469512939453,30.0075778961182,17.5324802398682,0.622933328151703,1.07102704048157,4.18079662322998,59.4021797180176,16.793270111084,59.2061653137207,25.5237121582031
4010242,-0.0736014,37.7364163,0,32,0,1151.01110839844,85.825798034668,28.3090438842773,17.3289642333984,0.655718147754669,1.59060037136078,4.31159067153931,59.4021797180176,16.793270111084,57.5997314453125,25.5237121582031
4010243,-0.0099003,37.8192432,0,33,0,951.531066894531,61.6393814086914,31.1782608032227,18.5011520385742,0.619265139102936,1.01237332820892,3.97518682479858,59.4021797180176,16.793270111084,60.5110549926758,25.5237121582031
