vars,CPO
soil_pH_cat|soil_temp_cat,18.337679296636
elevation_cat|improved_water_cat|lst_day_cat,18.4756752415831
elevation_cat|improved_water_cat|ndvi_cat,18.3832590373074
elevation_cat|improved_water_cat|open_def_cat,18.4202951030819
elevation_cat|improved_water_cat|prec_cat,18.5670248665597
elevation_cat|improved_water_cat|rel_humidity_cat,18.3876301684969
elevation_cat|improved_water_cat|soil_moisture_cat,18.4698155330227
elevation_cat|improved_water_cat|soil_pH_cat,18.3915002172357
elevation_cat|improved_water_cat|soil_temp_cat,18.4086874630032
elevation_cat|lst_day_cat|ndvi_cat,18.1366124038938
elevation_cat|lst_day_cat|open_def_cat,18.2554310627922
elevation_cat|lst_day_cat|prec_cat,18.2676951055615
elevation_cat|lst_day_cat|rel_humidity_cat,18.2583850734173
elevation_cat|lst_day_cat|soil_moisture_cat,18.1900138433493
elevation_cat|lst_day_cat|soil_pH_cat,18.3110683571563
elevation_cat|lst_day_cat|soil_temp_cat,18.3664412380477
elevation_cat|ndvi_cat|open_def_cat,18.2946988521807
elevation_cat|ndvi_cat|prec_cat,18.4748354561275
elevation_cat|ndvi_cat|rel_humidity_cat,18.2243690898011
elevation_cat|ndvi_cat|soil_moisture_cat,18.2243151275175
elevation_cat|ndvi_cat|soil_pH_cat,18.2456690440804
elevation_cat|ndvi_cat|soil_temp_cat,18.2977681566981
elevation_cat|open_def_cat|prec_cat,18.3673133254572
elevation_cat|open_def_cat|rel_humidity_cat,18.2328272254458
elevation_cat|open_def_cat|soil_moisture_cat,18.222910404326
elevation_cat|open_def_cat|soil_pH_cat,18.2414225876498
elevation_cat|open_def_cat|soil_temp_cat,18.3375395922766
elevation_cat|prec_cat|rel_humidity_cat,18.2979075008874
elevation_cat|prec_cat|soil_moisture_cat,18.3018932580502
elevation_cat|prec_cat|soil_pH_cat,18.3693733186118
elevation_cat|prec_cat|soil_temp_cat,18.2983511199647
elevation_cat|rel_humidity_cat|soil_moisture_cat,18.2333121791428
elevation_cat|rel_humidity_cat|soil_pH_cat,18.2555582323786
elevation_cat|rel_humidity_cat|soil_temp_cat,18.3463970346929
elevation_cat|soil_moisture_cat|soil_pH_cat,18.2296813223978
elevation_cat|soil_moisture_cat|soil_temp_cat,18.5768947583297
elevation_cat|soil_pH_cat|soil_temp_cat,18.2879079303759
improved_water_cat|lst_day_cat|ndvi_cat,18.3556144183259
improved_water_cat|lst_day_cat|open_def_cat,18.5343088818505
improved_water_cat|lst_day_cat|prec_cat,18.4926122288292
improved_water_cat|lst_day_cat|rel_humidity_cat,18.4117935691652
improved_water_cat|lst_day_cat|soil_moisture_cat,18.473710144897
improved_water_cat|lst_day_cat|soil_pH_cat,18.2771575575551
improved_water_cat|lst_day_cat|soil_temp_cat,18.4259860751998
improved_water_cat|ndvi_cat|open_def_cat,18.6114802633606
improved_water_cat|ndvi_cat|prec_cat,18.7041527691828
improved_water_cat|ndvi_cat|rel_humidity_cat,18.4545585482676
improved_water_cat|ndvi_cat|soil_moisture_cat,18.5977027200856
improved_water_cat|ndvi_cat|soil_pH_cat,18.5761841655598
improved_water_cat|ndvi_cat|soil_temp_cat,18.5133350853695
improved_water_cat|open_def_cat|prec_cat,18.7327492908328
improved_water_cat|open_def_cat|rel_humidity_cat,18.4713608031632
improved_water_cat|open_def_cat|soil_moisture_cat,18.6058325211768
improved_water_cat|open_def_cat|soil_pH_cat,18.5969501373477
improved_water_cat|open_def_cat|soil_temp_cat,23.0435736580515
improved_water_cat|prec_cat|rel_humidity_cat,18.601987352786
improved_water_cat|prec_cat|soil_moisture_cat,18.7329793303237
improved_water_cat|prec_cat|soil_pH_cat,18.6857704680825
improved_water_cat|prec_cat|soil_temp_cat,18.4273846813282
improved_water_cat|rel_humidity_cat|soil_moisture_cat,18.5066773413041
improved_water_cat|rel_humidity_cat|soil_pH_cat,18.4231219484514
improved_water_cat|rel_humidity_cat|soil_temp_cat,18.5010898191903
improved_water_cat|soil_moisture_cat|soil_pH_cat,18.6195474179042
improved_water_cat|soil_moisture_cat|soil_temp_cat,18.5678947016906
improved_water_cat|soil_pH_cat|soil_temp_cat,18.4349751427341
lst_day_cat|ndvi_cat|open_def_cat,18.333745738174
lst_day_cat|ndvi_cat|prec_cat,18.3901562819342
lst_day_cat|ndvi_cat|rel_humidity_cat,18.1500369924233
lst_day_cat|ndvi_cat|soil_moisture_cat,18.2414530507911
lst_day_cat|ndvi_cat|soil_pH_cat,18.1071614957682
lst_day_cat|ndvi_cat|soil_temp_cat,18.5481895695426
