school_id,lng,lat,school,county,subcounty,n,N,prev
63,39.9333992004395,-3.09729337692261,Kundeni,Kilifi,Magarini,4,49,8.16326530612245
64,40.1019668579102,-3.23708343505859,Kwa Chocha,Kilifi,Malindi,1,50,2
65,40.0299949645996,-3.22982335090637,Kwa Upanga,Kilifi,Magarini,3,50,6
66,39.6770248413086,-3.70203995704651,Lubondo,Kilifi,Kilifi South,1,42,2.38095238095238
67,39.8590965270996,-3.62728595733643,Mabirikani,Kilifi,Kilifi North,1,49,2.04081632653061
68,40.1114311218262,-3.16061973571777,Maboromokoni Ecd,Kilifi,Magarini,1,50,2
69,40.101863861084,-3.1620147228241,Maboromokoni Nurse,Kilifi,Magarini,1,50,2
70,39.9748115539551,-3.18341994285583,Madunguni,Kilifi,Malindi,0,51,0
71,39.4923439025879,-3.83267164230347,Madzimbani,Kilifi,Kaloleni,0,50,0
72,39.7403411865234,-3.58488345146179,Magogoni,Kilifi,Ganze,0,42,0
73,39.7882537841797,-3.66734671592712,Majajani,Kilifi,Kilifi North,10,37,27.027027027027
74,39.6462898254395,-3.8336067199707,Majengo,Kilifi,Kaloleni,2,53,3.77358490566038
75,39.6462898254395,-3.8336067199707,Majengo,Kilifi,Malindi,0,50,0
76,39.6058807373047,-3.86964631080627,Makanzani,Kilifi,Rabai,0,50,0
77,39.5920791625977,-3.79414343833923,Makomboani,Kilifi,Kaloleni,1,52,1.92307692307692
78,39.7382850646973,-3.42807340621948,Mangudho,Kilifi,Ganze,0,51,0
79,39.7550010681152,-3.80376505851746,Mapawa,Kilifi,Kilifi South,1,56,1.78571428571429
80,39.9597816467285,-3.02846169471741,Marafa,Kilifi,Magarini,0,50,0
81,40.1448059082031,-2.86297011375427,Marereni,Kilifi,Magarini,1,50,2
82,40.1448059082031,-2.86297011375427,Marereni,Kilifi,Ganze,0,41,0
83,39.8228149414062,-3.14517998695374,Marikano,Kilifi,Malindi,0,54,0
84,39.4678077697754,-3.63048672676086,Maryango,Kilifi,Ganze,0,44,0
85,39.7725982666016,-3.5245099067688,Masindeni,Kilifi,Ganze,0,49,0
86,39.727783203125,-3.88200330734253,Matandale,Kilifi,Kilifi South,1,50,2
87,39.8000373840332,-3.67911338806152,Mavueni,Kilifi,Kilifi North,1,50,2
88,40.0695114135742,-3.20848321914673,Maziwani,Kilifi,Magarini,0,52,0
89,40.0158271789551,-3.14441823959351,Mbaoni,Kilifi,Magarini,1,60,1.66666666666667
90,40.0763778686523,-3.29180836677551,Mbarakachembe,Kilifi,Kilifi North,1,54,1.85185185185185
91,39.6874732971191,-3.73290824890137,Mbomboni,Kilifi,Kilifi South,2,50,4
92,39.9434127807617,-3.33874821662903,Mida Majaoni,Kilifi,Kilifi North,1,52,1.92307692307692
93,39.5148086547852,-3.89769005775452,Migundini,Kilifi,Kaloleni,1,56,1.78571428571429
94,40.0023918151855,-3.26237177848816,Mijomboni Centre,Kilifi,Kilifi North,3,51,5.88235294117647
95,39.740650177002,-3.47822666168213,Mikalanzani,Kilifi,Ganze,0,48,0
96,39.5893592834473,-3.86197447776794,Mikomani,Kilifi,Rabai,0,50,0
97,39.7010536193848,-3.79784774780273,Mitulani,Kilifi,Kilifi South,0,54,0
98,40.0611114501953,-3.23305177688599,Miwani,Kilifi,Magarini,0,54,0
99,39.920036315918,-3.36120176315308,Mkangagani,Kilifi,Kilifi North,0,53,0
100,39.7223281860352,-3.14104342460632,Mkondoni,Kilifi,Malindi,1,54,1.85185185185185
101,39.6147117614746,-3.87333607673645,Mleji,Kilifi,Rabai,0,50,0
102,39.8393402099609,-3.64495325088501,Mnarani,Kilifi,Kilifi North,0,47,0
