school_id,lng,lat,school,county,subcounty,n,N,prev
4010631,37.6460532,0.0398674,Irinda C.c.m,Meru,Imenti North,0,32,0
4010632,37.6605996,0.0016276,Mwiramwanki,Meru,Imenti North,0,31,0
4010633,37.6589377,0.010142,Ngonyi,Meru,Imenti North,0,32,0
4010641,37.8281648,0.0028483,Mck Gachua,Meru,Imenti North,0,32,0
4010642,37.7154869,0.0427666,Thuura,Meru,Imenti North,0,30,0
4010643,37.75224,0.0340367,Deb Karirwara,Meru,Imenti North,0,31,0
4010651,37.6909733,0.061705,Kathithi,Meru,Imenti North,0,31,0
4010652,37.6932482,0.071238,Munithu,Meru,Imenti North,0,32,0
4010653,37.6645586,0.1236921,Kithoka Primary School,Meru,Imenti North,0,32,0
4010711,37.6639764,-0.0940228,Lower Chure,Meru,South Imenti,0,32,0
4010712,37.6722427,-0.1242516,Kanyakine,Meru,South Imenti,0,32,0
4010722,37.5927792,-0.1363832,Kairiene,Meru,South Imenti,0,32,0
4010723,37.6277478,-0.0890055,Ccm Ucima Primary School,Meru,South Imenti,0,32,0
4010731,37.6642843,-0.2019091,Gicici,Meru,South Imenti,0,32,0
4010741,37.62653,-0.1957651,Kathuguya,Meru,South Imenti,0,32,0
4010742,37.6100665,-0.1686576,Kaura,Meru,South Imenti,0,32,0
4010743,37.6344223,-0.1798963,Gakiri,Meru,South Imenti,0,32,0
4010751,37.78308,-0.1073346,Mitunguu Primary,Meru,South Imenti,0,32,0
4010752,37.7137136,-0.085934,Ndamene,Meru,South Imenti,0,32,0
4010761,37.6624529,-0.0814429,Kathanthatu,Meru,South Imenti,0,32,0
4010762,37.585559,-0.0756634,Kianjogu,Meru,South Imenti,0,32,0
4010763,37.5807862,-0.0355794,Baitigitu,Meru,South Imenti,0,32,0
4010811,37.800745,0.2968683,Mula,Meru,Tigania East,0,32,0
4010812,37.827057,0.2165351,Mitunguu,Meru,Tigania East,0,32,0
4010813,37.845055,0.249445,Linguri,Meru,Tigania East,0,32,0
4010821,37.8754729,0.1436434,Ng Ombe Njiru,Meru,Tigania East,0,32,0
4010822,37.8522654,0.187374,Micii Mikuru,Meru,Tigania East,0,32,0
4010823,37.8463532,0.143905,Kaliene,Meru,Tigania East,1,33,0.0303030303030303
4010831,37.8311031,0.0662939,Marega,Meru,Tigania East,0,34,0
4010832,37.8355716,0.1204614,Mikinduri,Meru,Tigania East,0,32,0
4010833,37.8573585,0.1142846,Mutewa,Meru,Tigania East,0,32,0
4010841,37.7994671,0.2279412,Ncuui,Meru,Tigania East,0,31,0
4010842,37.7383947,0.240842,Lailuba,Meru,Tigania East,0,34,0
4010843,37.8146001,0.199432,Nduluma,Meru,Tigania East,0,35,0
4010851,37.8992732,0.1226645,Rarimbu,Meru,Tigania East,0,33,0
4010852,37.9132822,0.0130716,Ngage,Meru,Tigania East,0,31,0
4010853,37.9019959,0.0862187,Kiguma,Meru,Tigania East,0,34,0
4010911,37.7845398,0.1918505,Mwili,Meru,Tigania West,0,32,0
4010912,37.8166937,0.1469615,Kitheo,Meru,Tigania West,0,32,0
4010913,38.3539,-2.0267,K.k .Lumbi,Meru,Tigania West,0,32,0
4010921,37.7643606,0.2007634,Mwanika,Meru,Tigania West,0,31,0
4010922,37.6162229,0.3184578,K.k Nkengecia,Meru,Tigania West,1,32,0.03125
4010923,37.6355533,0.2988883,Kibiru,Meru,Tigania West,0,32,0
4010931,37.805595,0.1333983,Kiandiu,Meru,Tigania West,0,31,0
4010932,37.633399,0.2213348,Laaria,Meru,Tigania West,0,19,0
4010933,37.7698552,0.1374437,Antubeiga Primary School,Meru,Tigania West,0,32,0
4010941,37.790595,0.06875,Kimerei,Meru,Tigania West,0,32,0
4010942,37.8154033,0.047144,Kaamu Primary School,Meru,Tigania West,0,32,0
4010943,37.8753034,0.0159131,Chairuku,Meru,Tigania West,0,32,0
4010951,37.6979933,0.1552167,Kanjai,Meru,Tigania West,0,23,0
4010952,37.7750446,0.1249093,Ntoombo,Meru,Tigania West,0,32,0
4010953,37.76435,0.104969,Kimachia,Meru,Tigania West,0,32,0
4020111,37.3481713,-1.2987295,Kangundo Deb,Machakos,Kangundo,0,32,0
4020112,37.3619208,-1.3067875,Masewani (Kangundo Central),Machakos,Kangundo,0,32,0
4020113,37.3656365,-1.3388017,Ngulini,Machakos,Kangundo,0,32,0
4020121,37.3570885,-1.3746566,Kithunthi,Machakos,Kangundo,0,32,0
4020122,37.3966969,-1.355987,Manyatta,Machakos,Kangundo,0,32,0
4020123,37.3665044,-1.3781946,Kwa Kathule,Machakos,Kangundo,0,32,0
4020124,37.3786879,-1.3622376,Kivi Deb,Machakos,Kangundo,0,32,0
4020131,37.3573092,-1.2876071,Mbilini,Machakos,Kangundo,0,32,0
4020132,37.3528766,-1.2634303,Matungulu Aic,Machakos,Kangundo,0,32,0
4020133,37.3990521,-1.3145224,Kawauni,Machakos,Kangundo,0,32,0
4020134,37.3927699,-1.308125,Kwa Mwilile Deb,Machakos,Kangundo,0,32,0
4020141,37.3265144,-1.3820481,Mbusyani,Machakos,Kangundo,0,32,0
4020142,37.3045596,-1.3460796,Mukunike,Machakos,Kangundo,0,32,0
4020143,37.2899034,-1.330114,Kathaana,Machakos,Kangundo,0,32,0
4020144,37.3203664,-1.3486241,Kawethei Sa,Machakos,Kangundo,0,32,0
4020211,37.3061348,-1.3913793,Kaiani (Kathiani Central),Machakos,Kathiani,0,32,0
4020212,37.3018419,-1.3977851,Mivandoni,Machakos,Kathiani,0,32,0
4020213,37.3200169,-1.4304978,Isyukoni,Machakos,Kathiani,0,32,0
4020221,37.3793361,-1.5163134,Kasioni,Machakos,Kathiani,0,32,0
4020222,37.3486423,-1.4668989,Makumbini,Machakos,Kathiani,0,32,0
4020223,37.3551305,-1.4416421,Imilini,Machakos,Kathiani,0,32,0
4020224,37.348516,-1.5051894,Kathuni,Machakos,Kathiani,0,32,0
4020231,37.2655426,-1.4352007,Kisekini (Mitaboni),Machakos,Kathiani,0,32,0
4020232,37.2792237,-1.4038073,Kavete,Machakos,Kathiani,0,32,0
4020233,37.2733635,-1.3930518,Ngiini,Machakos,Kathiani,0,32,0
4020234,37.2327749,-1.3753007,Maanzoni,Machakos,Kathiani,0,32,0
4020241,37.3360816,-1.4822239,Kikawani,Machakos,Kathiani,0,32,0
