county,subcounty,n,N,prev
Nyandarua,Kinangop,1,482,0.0020746887966805
Nyandarua,Kipipiri,0,475,0
Nyandarua,Ndaragwa,0,447,0
Nyandarua,Ol Jorok,0,451,0
Nyandarua,Ol Kalou,0,468,0
Samburu,Samburu East,0,450,0
Samburu,Samburu North,8,466,0.0171673819742489
Samburu,Samburu West,2,475,0.00421052631578947
Tharaka-Nithi,Igambango Ombe,0,445,0
Tharaka-Nithi,Maara,0,487,0
Tharaka-Nithi,Tharaka,0,448,0
Turkana,Loima,0,339,0
Turkana,Turkana Central,0,285,0
Turkana,Turkana East,0,319,0
Turkana,Turkana North,0,223,0
Turkana,Turkana South,0,336,0
Turkana,Turkana West,3,318,0.00943396226415094
West Pokot,Kacheliba,0,466,0
West Pokot,Kapenguria,1,457,0.00218818380743982
West Pokot,Pokot South,7,480,0.0145833333333333
West Pokot,Sigor,1,440,0.00227272727272727
