county,subcounty,ward,school,school_id,lng,lat,n,N,prev
Meru,Igembe South,Kiegoi/ Antubochiu,Itumi,4010542,37.9286056,0.2204346,6,32,19
Meru,Igembe South,Kiegoi/ Antubochiu,Kiegoi,4010543,37.9167273,0.2372866,5,32,16
Meru,Igembe South,Maua,Luluma,4010551,37.9517101,0.2188328,11,32,34
Meru,Igembe South,Maua,Gitura,4010552,37.9599581,0.2224715,6,32,19
Meru,Igembe South,Maua,Maua,4010553,37.9440173,0.229612,3,32,9
Meru,Imenti North,Municipality,Meru Township,4010611,37.6500236,0.0527975,0,32,0
Meru,Imenti North,Municipality,Kinoru,4010612,37.635859,0.0531749,0,30,0
Meru,Imenti North,Municipality,Ccm Gitoro,4010613,37.6346613,0.0605874,0,32,0
Meru,Imenti North,Ntima East,Good Shepherd,4010621,37.6588337,0.049324,0,31,0
Meru,Imenti North,Ntima East,Njukinjiru,4010622,37.6800644,0.0282667,0,32,0
Meru,Imenti North,Ntima East,Mwirine,4010623,37.6618467,0.0556301,0,32,0
Meru,Imenti North,Ntima West,Irinda C.c.m,4010631,37.6460532,0.0398674,0,32,0
Meru,Imenti North,Ntima West,Mwiramwanki,4010632,37.6605996,0.0016276,0,31,0
Meru,Imenti North,Ntima West,Ngonyi,4010633,37.6589377,0.010142,0,32,0
Meru,Imenti North,Nyaki East,Mck Gachua,4010641,37.8281648,0.0028483,0,32,0
Meru,Imenti North,Nyaki East,Thuura,4010642,37.7154869,0.0427666,0,30,0
Meru,Imenti North,Nyaki East,Deb Karirwara,4010643,37.75224,0.0340367,1,31,3
Meru,Imenti North,Nyaki West,Kathithi,4010651,37.6909733,0.061705,0,31,0
Meru,Imenti North,Nyaki West,Munithu,4010652,37.6932482,0.071238,0,32,0
Meru,Imenti North,Nyaki West,Kithoka Primary School,4010653,37.6645586,0.1236921,0,32,0
Meru,South Imenti,Abogeta East,Lower Chure,4010711,37.6639764,-0.0940228,0,32,0
Meru,South Imenti,Abogeta East,Kanyakine,4010712,37.6722427,-0.1242516,0,32,0
Meru,South Imenti,Abogeta West,Kairiene,4010722,37.5927792,-0.1363832,0,32,0
Meru,South Imenti,Abogeta West,Ccm Ucima Primary School,4010723,37.6277478,-0.0890055,0,32,0
Meru,South Imenti,Igoji East,Gicici,4010731,37.6642843,-0.2019091,0,32,0
Meru,South Imenti,Igoji West,Kathuguya,4010741,37.62653,-0.1957651,0,32,0
Meru,South Imenti,Igoji West,Kaura,4010742,37.6100665,-0.1686576,0,32,0
Meru,South Imenti,Igoji West,Gakiri,4010743,37.6344223,-0.1798963,0,32,0
Meru,South Imenti,Mitunguu,Mitunguu Primary,4010751,37.78308,-0.1073346,0,32,0
Meru,South Imenti,Mitunguu,Ndamene,4010752,37.7137136,-0.085934,1,32,3
Meru,South Imenti,Nkuene,Kathanthatu,4010761,37.6624529,-0.0814429,0,32,0
Meru,South Imenti,Nkuene,Kianjogu,4010762,37.585559,-0.0756634,0,32,0
Meru,South Imenti,Nkuene,Baitigitu,4010763,37.5807862,-0.0355794,0,32,0
Meru,Tigania East,Karama,Mula,4010811,37.800745,0.2968683,0,32,0
Meru,Tigania East,Karama,Mitunguu,4010812,37.827057,0.2165351,0,32,0
Meru,Tigania East,Karama,Linguri,4010813,37.845055,0.249445,1,32,3
Meru,Tigania East,Kiguchwa,Ng Ombe Njiru,4010821,37.8754729,0.1436434,1,32,3
Meru,Tigania East,Kiguchwa,Micii Mikuru,4010822,37.8522654,0.187374,2,32,6
Meru,Tigania East,Kiguchwa,Kaliene,4010823,37.8463532,0.143905,4,33,12
Meru,Tigania East,Mikinduri,Marega,4010831,37.8311031,0.0662939,0,34,0
Meru,Tigania East,Mikinduri,Mikinduri,4010832,37.8355716,0.1204614,0,32,0
Meru,Tigania East,Mikinduri,Mutewa,4010833,37.8573585,0.1142846,1,32,3
Meru,Tigania East,Muthara,Ncuui,4010841,37.7994671,0.2279412,0,31,0
Meru,Tigania East,Muthara,Lailuba,4010842,37.7383947,0.240842,0,34,0
Meru,Tigania East,Muthara,Nduluma,4010843,37.8146001,0.199432,6,35,17
Meru,Tigania East,Thangatha,Rarimbu,4010851,37.8992732,0.1226645,0,33,0
Meru,Tigania East,Thangatha,Ngage,4010852,37.9132822,0.0130716,1,31,3
Meru,Tigania East,Thangatha,Kiguma,4010853,37.9019959,0.0862187,4,34,12
Meru,Tigania West,Akithii,Mwili,4010911,37.7845398,0.1918505,0,32,0
Meru,Tigania West,Akithii,Kitheo,4010912,37.8166937,0.1469615,1,32,3
Meru,Tigania West,Akithii,K.k .Lumbi,4010913,38.3539,-2.0267,1,32,3
Meru,Tigania West,Athwana,Mwanika,4010921,37.7643606,0.2007634,0,31,0
Meru,Tigania West,Athwana,K.k Nkengecia,4010922,37.6162229,0.3184578,1,32,3
Meru,Tigania West,Athwana,Kibiru,4010923,37.6355533,0.2988883,0,32,0
Meru,Tigania West,Kianjai,Kiandiu,4010931,37.805595,0.1333983,0,31,0
Meru,Tigania West,Kianjai,Laaria,4010932,37.633399,0.2213348,0,19,0
Meru,Tigania West,Kianjai,Antubeiga Primary School,4010933,37.7698552,0.1374437,0,32,0
Meru,Tigania West,Mbeu,Kimerei,4010941,37.790595,0.06875,0,32,0
Meru,Tigania West,Mbeu,Kaamu Primary School,4010942,37.8154033,0.047144,0,32,0
Meru,Tigania West,Mbeu,Chairuku,4010943,37.8753034,0.0159131,0,32,0
Meru,Tigania West,Nkomo,Kanjai,4010951,37.6979933,0.1552167,0,23,0
Meru,Tigania West,Nkomo,Ntoombo,4010952,37.7750446,0.1249093,0,32,0
Meru,Tigania West,Nkomo,Kimachia,4010953,37.76435,0.104969,0,32,0
Machakos,Kangundo,Kangundo Central,Kangundo Deb,4020111,37.3481713,-1.2987295,0,32,0
Machakos,Kangundo,Kangundo Central,Masewani (Kangundo Central),4020112,37.3619208,-1.3067875,0,32,0
Machakos,Kangundo,Kangundo Central,Ngulini,4020113,37.3656365,-1.3388017,0,32,0
Machakos,Kangundo,Kangundo East,Kithunthi,4020121,37.3570885,-1.3746566,0,32,0
Machakos,Kangundo,Kangundo East,Manyatta,4020122,37.3966969,-1.355987,0,32,0
Machakos,Kangundo,Kangundo East,Kwa Kathule,4020123,37.3665044,-1.3781946,0,32,0
Machakos,Kangundo,Kangundo East,Kivi Deb,4020124,37.3786879,-1.3622376,0,32,0
Machakos,Kangundo,Kangundo North,Mbilini,4020131,37.3573092,-1.2876071,0,32,0
Machakos,Kangundo,Kangundo North,Matungulu Aic,4020132,37.3528766,-1.2634303,0,32,0
Machakos,Kangundo,Kangundo North,Kawauni,4020133,37.3990521,-1.3145224,0,32,0
Machakos,Kangundo,Kangundo North,Kwa Mwilile Deb,4020134,37.3927699,-1.308125,0,32,0
Machakos,Kangundo,Kangundo West,Mbusyani,4020141,37.3265144,-1.3820481,0,32,0
Machakos,Kangundo,Kangundo West,Mukunike,4020142,37.3045596,-1.3460796,0,32,0
Machakos,Kangundo,Kangundo West,Kathaana,4020143,37.2899034,-1.330114,0,32,0
Machakos,Kangundo,Kangundo West,Kawethei Sa,4020144,37.3203664,-1.3486241,0,32,0
Machakos,Kathiani,Kathiani Central,Kaiani (Kathiani Central),4020211,37.3061348,-1.3913793,0,32,0
Machakos,Kathiani,Kathiani Central,Mivandoni,4020212,37.3018419,-1.3977851,0,32,0
Machakos,Kathiani,Kathiani Central,Isyukoni,4020213,37.3200169,-1.4304978,0,32,0
Machakos,Kathiani,Lower Kaewa/ Kaani,Kasioni,4020221,37.3793361,-1.5163134,0,32,0
Machakos,Kathiani,Lower Kaewa/ Kaani,Makumbini,4020222,37.3486423,-1.4668989,0,32,0
Machakos,Kathiani,Lower Kaewa/ Kaani,Imilini,4020223,37.3551305,-1.4416421,0,32,0
Machakos,Kathiani,Lower Kaewa/ Kaani,Kathuni,4020224,37.348516,-1.5051894,0,32,0
Machakos,Kathiani,Mitaboni,Kisekini (Mitaboni),4020231,37.2655426,-1.4352007,0,32,0
Machakos,Kathiani,Mitaboni,Kavete,4020232,37.2792237,-1.4038073,0,32,0
Machakos,Kathiani,Mitaboni,Ngiini,4020233,37.2733635,-1.3930518,0,32,0
Machakos,Kathiani,Mitaboni,Maanzoni,4020234,37.2327749,-1.3753007,0,32,0
Machakos,Kathiani,Upper Kaewa/Iveti,Kikawani,4020241,37.3360816,-1.4822239,0,32,0
Machakos,Kathiani,Upper Kaewa/Iveti,Isooni,4020242,37.3313731,-1.4620365,0,32,0
Machakos,Kathiani,Upper Kaewa/Iveti,Kwa Ngolia,4020243,37.3067057,-1.4567203,0,32,0
Machakos,Kathiani,Upper Kaewa/Iveti,Mang Aani,4020244,37.2856698,-1.4540438,1,32,3
Machakos,Machakos Town,Kalama,Kyangala,4020311,37.33026,-1.6225404,0,22,0
Machakos,Machakos Town,Kalama,Kalama,4020312,37.3270078,-1.6054962,0,22,0
